,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3573,3573,E05469,内国法人・組合,上場,有,333.0,3月31日,システムズ・デザイン株式会社,"SYSTEMS DESIGN Co.,Ltd.",システムズデザインカブシキガイシャ,杉並区和泉一丁目２２番１９号,情報・通信業,37660.0,7011301012643.0
3574,3574,E05470,内国法人・組合,上場,有,2147.0,6月30日,株式会社エフオン,EF-ON INC.,カブシキガイシャエフオン,中央区京橋三丁目１番１号,電気・ガス業,95140.0,9010001028064.0
3575,3575,E05471,内国法人・組合,上場,有,1155.0,3月31日,リスクモンスター株式会社,RISKMONSTER.COM,リスクモンスターカブシキカイシャ,中央区日本橋二丁目１６番５号　ＲＭＧビル,情報・通信業,37680.0,5010001075531.0
3576,3576,E05473,内国法人・組合（有価証券報告書等の提出義務者以外）,,,100.0,,株式会社シンプレクス・インベストメント・アドバイザーズ,,カブシキガイシャシンプレクスインベストメントアドバイザーズ,千代田区霞が関三丁目３番２号　新霞が関ビルディング１９階,内国法人・組合（有価証券報告書等の提出義務者以外）,,8010401121320.0
3577,3577,E05474,内国法人・組合,上場,有,5338.0,12月31日,ガンホー・オンライン・エンターテイメント株式会社,"GungHo Online Entertainment, Inc.",ガンホーオンラインエンターテイメントカブシキガイシャ,千代田区丸の内一丁目１１番１号,情報・通信業,37650.0,8010001082839.0
3578,3578,E05476,内国法人・組合,上場,有,655.0,9月30日,ＧＭＯペイメントゲートウェイ株式会社,"GMO Payment Gateway, Inc.",ジーエムオーペイメントゲートウェイカブシキガイシャ,渋谷区道玄坂１－１４－６,情報・通信業,37690.0,6011001005411.0
3579,3579,E05477,内国法人・組合,上場,有,419.0,12月31日,共同ピーアール株式会社,"KYODO PUBLIC RELATIONS CO.,LTD.",キョウドウピーアールカブシキカイシャ,中央区銀座七丁目２番２２号,サービス業,24360.0,4010001041427.0
3580,3580,E05478,内国法人・組合,上場,無,432.0,3月31日,株式会社シダー,"cedar.co.,ltd",カブシキガイシャシダー,北九州市小倉北区大畠１丁目７番１９号,サービス業,24350.0,3290801004110.0
3581,3581,E05479,内国法人・組合,上場,有,2151.0,12月31日,ルーデン・ホールディングス株式会社,"RUDEN HOLDINGS Co.,Ltd.",ルーデンホールディングスカブシキガイシャ,渋谷区桜丘町２０番１号,建設業,14000.0,1011101035809.0
3582,3582,E05480,内国法人・組合,上場,有,22961.0,3月31日,株式会社インターネットイニシアティブ,Internet Initiative Japan Inc.,カブシキガイシャインターネットイニシアティブ,千代田区富士見二丁目１０番２号,情報・通信業,37740.0,6010001011147.0
3583,3583,E05481,内国法人・組合,上場,有,634.0,4月30日,日本テレホン株式会社,NIPPON TELEPHONE INC.,ニホンテレホンカブシキガイシャ,大阪市北区天満橋一丁目８番３０号　ＯＡＰタワー９階,情報・通信業,94250.0,2120001072917.0
3584,3584,E05483,内国法人・組合,上場,無,490.0,4月30日,株式会社アスカネット,"Asukanet Company,Limited",カブシキガイシャアスカネット,広島市安佐南区祇園三丁目２８番１４号,サービス業,24380.0,7240001000407.0
3585,3585,E05484,内国法人・組合,上場,有,1476.0,4月30日,株式会社ザッパラス,"ZAPPALLAS,INC.",カブシキガイシャザッパラス,港区赤坂九丁目７番１号,情報・通信業,37700.0,8011001048846.0
3586,3586,E05485,内国法人・組合,上場,有,845.0,3月31日,株式会社ソフトクリエイトホールディングス,SOFTCREATE HOLDINGS CORP.,カブシキガイシャソフトクリエイトホールディングス,渋谷区渋谷二丁目１５番地１号,情報・通信業,33710.0,8011001012950.0
3587,3587,E05487,内国法人・組合,上場,有,550.0,3月31日,株式会社システムリサーチ,"SYSTEM RESEARCH CO.,LTD.",カブシキガイシャシステムリサーチ,名古屋市中村区岩塚本通二丁目１２番,情報・通信業,37710.0,8180001030616.0
3588,3588,E05491,内国法人・組合,非上場,無,10.0,3月31日,株式会社ウィズ,"WiZ CO., LTD.",カブシキガイシャウィズ,台東区寿三丁目１４番１１号,その他製品,,5010001037564.0
3589,3589,E05492,内国法人・組合,上場,有,4551.0,9月30日,フィンテック　グローバル株式会社,FinTech Global Incorporated,フィンテックグローバルカブシキガイシャ,品川区上大崎三丁目１番１号　目黒セントラルスクエア１５階,その他金融業,87890.0,7010401025761.0
